0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.721272083e-11,1.721272083e-11,1.721272083e-11,1.721272083e-11,1.721272083e-11,1.721272083e-11,1.721272083e-11,1.721272083e-11,1.721272083e-11,1.721272083e-11,1.721272083e-11,1.721272083e-11,1.721272083e-11,1.721272083e-11,1.721272083e-11,1.721272083e-11,1.721272083e-11,1.721272083e-11,1.721272083e-11,1.721272083e-11,1.721272083e-11
1.945871658e-10,1.945871658e-10,1.945871658e-10,1.945871658e-10,1.945871658e-10,1.945871658e-10,1.945871658e-10,1.945871658e-10,1.945871658e-10,1.945871658e-10,1.945871658e-10,1.945871658e-10,1.945871658e-10,1.945871658e-10,1.945871658e-10,1.945871658e-10,1.945871658e-10,1.945871658e-10,1.945871658e-10,1.945871658e-10,1.945871658e-10
1.176559405e-09,1.176559405e-09,1.176559405e-09,1.176559405e-09,1.176559405e-09,1.176559405e-09,1.176559405e-09,1.176559405e-09,1.176559405e-09,1.176559405e-09,1.176559405e-09,1.176559405e-09,1.176559405e-09,1.176559405e-09,1.176559405e-09,1.176559405e-09,1.176559405e-09,1.176559405e-09,1.176559405e-09,1.176559405e-09,1.176559405e-09
5.047350538e-09,5.047350538e-09,5.047350538e-09,5.047350538e-09,5.047350538e-09,5.047350538e-09,5.047350538e-09,5.047350538e-09,5.047350538e-09,5.047350538e-09,5.047350538e-09,5.047350538e-09,5.047350538e-09,5.047350538e-09,5.047350538e-09,5.047350538e-09,5.047350538e-09,5.047350538e-09,5.047350538e-09,5.047350538e-09,5.047350538e-09
1.721162413e-08,1.721162413e-08,1.721162413e-08,1.721162413e-08,1.721162413e-08,1.721162413e-08,1.721162413e-08,1.721162413e-08,1.721162413e-08,1.721162413e-08,1.721162413e-08,1.721162413e-08,1.721162413e-08,1.721162413e-08,1.721162413e-08,1.721162413e-08,1.721162413e-08,1.721162413e-08,1.721162413e-08,1.721162413e-08,1.721162413e-08
4.960211797e-08,4.960211797e-08,4.960211797e-08,4.960211797e-08,4.960211797e-08,4.960211797e-08,4.960211797e-08,4.960211797e-08,4.960211797e-08,4.960211797e-08,4.960211797e-08,4.960211797e-08,4.960211797e-08,4.960211797e-08,4.960211797e-08,4.960211797e-08,4.960211797e-08,4.960211797e-08,4.960211797e-08,4.960211797e-08,4.960211797e-08
